statement,label
I swiped my keycard at the diner downtown at exactly 2:00 AM.,0
I swiped my keycard at the grocery store at exactly early morning.,0
I have never seen the black bag in my entire life.,0
Are you accusing me of taking the black bag?,2
My car was parked at the gas station. I didn't go anywhere.,0
I demand to speak to my lawyer. I wasn't at the grocery store!,2
"Am I under arrest? If not, I'm leaving.",2
I'm not answering any more questions about the weapon.,2
I arrived at the subway station at 8:00 AM and immediately started working on a report.,0
I have never seen the documents in my entire life.,0
"I told you already, I was sleeping! Leave me alone!",2
Let's see... maybe I was near the office? It's hard to say.,1
"The the weapon might have been moved, but it certainly wasn't by me.",3
I would never do such a thing at 1:30 PM. It goes against my morals.,3
"Honestly, i was nowhere near the vicinity of the diner downtown.",3
I was nowhere near the vicinity of the subway station.,3
Let's see... could we talk about this later? My head hurts.,1
Prove it! You can't prove I was at the gas station at 1:30 PM!,2
My car was parked at the gym. I didn't go anywhere.,0
I was doing a lot of things around 3:45 PM.,1
"I swear, i was nowhere near the vicinity of the grocery store.",3
I was with my roommate at my friend's apartment while I was watching a movie.,0
"Because I was extremely tired, I had to go to the parking garage to start driving.",3
Let's see... could we talk about this later? My head hurts.,1
I left the gym at 1:30 PM and drove straight to the gym.,0
Why are you targeting me? I was just sleeping!,2
"Am I under arrest? If not, I'm leaving.",2
I saw him leave holding the laptop.,0
"Am I under arrest? If not, I'm leaving.",2
"Because I was extremely tired, I had to go to the office to start working on a report.",3
"You know, maybe I was near the grocery store? It's hard to say.",1
The unfortunate events at the office have absolutely nothing to do with me.,3
"Am I under arrest? If not, I'm leaving.",2
You cops are all the same. I don't know anything about the documents!,2
Let's see... maybe I was near the parking garage? It's hard to say.,1
"Frankly, someone could say they saw me at the gas station, but they would be entirely mistaken.",3
"I told you already, I was fixing my car! Leave me alone!",2
"To tell you the truth, why would I even want the laptop? I am a very successful person.",3
I was with my roommate at the parking garage while I was watching a movie.,0
"Well, i don't know anything about the car keys.",1
I saw him leave holding the documents.,0
I saw him leave holding the money.,0
I'm not answering any more questions about the weapon.,2
