description,category,label
lab results revealed blood was found at the scene,1,Biological Evidence
forensics confirmed traces of chloroform on the rag,1,Biological Evidence
forensics confirmed financial fraud linked to suspects account,3,Digital Evidence
evidence suggests displaced rug near the fireplace,0,Trace Evidence
forensics confirmed unlocked back door,0,Trace Evidence
forensics confirmed hacked into the system,3,Digital Evidence
investigators found scratches on the door lock,0,Trace Evidence
investigators found hidden camera recorded the crime,3,Digital Evidence
crime scene showed displaced rug near the fireplace,0,Trace Evidence
crime scene showed victim life insurance recently increased,3,Digital Evidence
detective uncovered financial records tampered,3,Digital Evidence
gun found,2,Weaponry
detective uncovered door was left open,0,Trace Evidence
evidence suggests camera footage exists,3,Digital Evidence
forensics confirmed gun was discovered,2,Weaponry
forensics confirmed hidden camera recorded the crime,3,Digital Evidence
evidence suggests displaced rug near the fireplace,0,Trace Evidence
evidence suggests he has a gun,2,Weaponry
investigators found rifle discovered,2,Weaponry
evidence suggests victim shows signs of blunt force trauma,2,Weaponry
investigators found there is blood on the floor,1,Biological Evidence
cigarette butt near the entrance,0,Trace Evidence
forensics confirmed victim was shot,2,Weaponry
officers noticed missing pen from the desk,0,Trace Evidence
evidence suggests suspect passport shows false identity,3,Digital Evidence
evidence suggests deleted text messages recovered from victims phone,3,Digital Evidence
financial crime,3,Digital Evidence
officers noticed there is blood on the floor,1,Biological Evidence
evidence suggests chair knocked over,0,Trace Evidence
forensics confirmed poison detected in the wine glass,1,Biological Evidence
traces of chloroform on the rag,1,Biological Evidence
crime scene showed she pulled out a gun,2,Weaponry
evidence suggests hacked into the system,3,Digital Evidence
detective uncovered gunshot residue on the suspect hands,2,Weaponry
forged signature on the victims will,3,Digital Evidence
crime scene showed heavy blunt object with blood found,2,Weaponry
lab results revealed evidence of money fraud on the computer,3,Digital Evidence
evidence suggests he shot the victim,2,Weaponry
crime scene showed unknown biological fluid on the bedsheets,1,Biological Evidence
crime scene showed something is missing,0,Trace Evidence
officers noticed he has a gun,2,Weaponry
officers noticed suspect had a gun,2,Weaponry
detective uncovered camera footage exists,3,Digital Evidence
investigators found large amounts of stolen money,3,Digital Evidence
investigators found financial fraud linked to suspects account,3,Digital Evidence
detective uncovered secret compartment found with stolen documents,3,Digital Evidence
evidence suggests dust disturbed on the shelf,0,Trace Evidence
heavy blunt object with blood found,2,Weaponry
faint smell of perfume in the hallway,0,Trace Evidence
lab results revealed scratches on the door lock,0,Trace Evidence
evidence suggests hacked into the system,3,Digital Evidence
evidence suggests he has a knife,2,Weaponry
financial crime,3,Digital Evidence
officers noticed evidence of a forced entry,0,Trace Evidence
crime scene showed toxicology confirms deliberate poisoning,1,Biological Evidence
detective uncovered cyanide vial discovered in the bin,1,Biological Evidence
detective uncovered pistol found at scene,2,Weaponry
crime scene showed misplaced keys on the kitchen counter,0,Trace Evidence
trail of footsteps,0,Trace Evidence
detective uncovered strangled victim found in the library,2,Weaponry
deleted text messages recovered from victims phone,3,Digital Evidence
poison used,1,Biological Evidence
financial records tampered,3,Digital Evidence
detective uncovered footprints at the scene,0,Trace Evidence
evidence suggests broken coffee mug on the floor,0,Trace Evidence
evidence suggests dna match confirmed,1,Biological Evidence
credit card fraud,3,Digital Evidence
detective uncovered clues found near the entrance,0,Trace Evidence
detective uncovered torn piece of fabric on the fence,0,Trace Evidence
lab results revealed phone records found,3,Digital Evidence
detective uncovered assault with a deadly weapon,2,Weaponry
evidence suggests financial fraud linked to suspects account,3,Digital Evidence
fraud detected,3,Digital Evidence
investigators found debris in the hallway,0,Trace Evidence
detective uncovered forged signature on the victims will,3,Digital Evidence
officers noticed window was broken,0,Trace Evidence
officers noticed suspect lied about alibi on camera,3,Digital Evidence
detective uncovered she had a knife,2,Weaponry
lab results revealed spent shell casings found at the scene,2,Weaponry
detective uncovered faint smell of perfume in the hallway,0,Trace Evidence
investigators found suspect carrying a weapon,2,Weaponry
forensics confirmed blood on the wall,1,Biological Evidence
detective uncovered dna evidence found,1,Biological Evidence
crime scene showed gunshot wound,2,Weaponry
lab results revealed explosive device found,2,Weaponry
investigators found he stole money,3,Digital Evidence
officers noticed financial fraud linked to suspects account,3,Digital Evidence
suspect armed,2,Weaponry
officers noticed traces of poison,1,Biological Evidence
forensics confirmed phone records found,3,Digital Evidence
forensics confirmed suspects dna found under victims fingernails,1,Biological Evidence
detective uncovered chair knocked over,0,Trace Evidence
blood found,1,Biological Evidence
evidence suggests evidence of a forced entry,0,Trace Evidence
evidence suggests victim strangled with a rope,2,Weaponry
forensics confirmed bank account was hacked,3,Digital Evidence
lab results revealed money was stolen,3,Digital Evidence
lab results revealed traces of poison,1,Biological Evidence
investigators found hidden camera recorded the crime,3,Digital Evidence
crime scene showed data was stolen,3,Digital Evidence
evidence suggests arsenic found in the victims tea,1,Biological Evidence
investigators found victim was poisoned,1,Biological Evidence
investigators found assault with a deadly weapon,2,Weaponry
evidence suggests saliva found on the discarded cigarette,1,Biological Evidence
chair knocked over,0,Trace Evidence
detective uncovered muddy footprints near the window,0,Trace Evidence
crime scene showed overturned chair in the kitchen,0,Trace Evidence
evidence suggests evidence of a forced entry,0,Trace Evidence
crime scene showed poison detected in the wine glass,1,Biological Evidence
lab results revealed stabbed with a knife,2,Weaponry
crime scene showed door was left open,0,Trace Evidence
financial crime,3,Digital Evidence
detective uncovered dust disturbed on the shelf,0,Trace Evidence
detective uncovered overturned chair in the kitchen,0,Trace Evidence
forensics confirmed digital evidence recovered,3,Digital Evidence
detective uncovered saliva found on the discarded cigarette,1,Biological Evidence
money was stolen,3,Digital Evidence
gun found,2,Weaponry
lab results revealed blood stains found on the kitchen floor,1,Biological Evidence
forensics confirmed firearm recovered,2,Weaponry
forensics confirmed suspects dna found under victims fingernails,1,Biological Evidence
crime scene showed he shot the victim,2,Weaponry
forensics confirmed gunshot residue on the suspect hands,2,Weaponry
